instruction,response
What is the vision and mission of the college?,The vision and mission of the college can be found at http://ccet.ac.in/history.php#vissionAndMission.
What is the campus map of the college?,The campus map of the college can be found at http://ccet.ac.in/campus.php.
How to reach the college?,You can find directions to reach the college at http://ccet.ac.in/visit.php.
Who is the principal of the college?,You can find information about the principal of the college at http://ccet.ac.in/principal.php.
What are the academic heads of the college?,You can find information about the academic heads of the college at http://ccet.ac.in/academicHeads.php.
What is the campus virtual tour of the college?,You can take a campus virtual tour of the college at http://ccet.ac.in/campusTour.php.
What are the infrastructure facilities available in the college?,You can find information about the infrastructure facilities available in the college at http://ccet.ac.in/infrastructure.php.
What are the admission notices of the college?,You can find admission notices of the college at http://ccet.ac.in/admission_notices.php.
How to get help with admissions?,You can get help with admissions at http://ccet.ac.in/HelpDesk.php.
What are the degree courses offered by the college?,You can find information about the degree courses offered by the college at http://ccet.ac.in/degreeCourse.php.
What is JAC and what is its portal?,JAC stands for Joint Admission Committee and its portal can be accessed at https://jacchd.admissions.nic.in/.
What is the counselling schedule of JAC?,You can find the counselling schedule of JAC at https://jacchd.admissions.nic.in/schedule/.
What is the eligibility criteria for admissions?,You can find the eligibility criteria for admissions at https://jacchd.admissions.nic.in/eligibility-status/.
What are the academic departments of the college?,"The academic departments of the college include Computer Science Engineering, Mechanical Engineering, Electronics And Communication Engineering, Civil Engineering, and Applied Science."
What is E-Akadamik?,E-Akadamik is an online platform for academic activities and can be accessed at http://eakadamik.in/ccet/.
What is CCET Moodle?,CCET Moodle is a learning management system and can be accessed at http://192.168.13.19/moodle/.
What are the mandatory disclosures of the college?,"You can find mandatory disclosures of the college, including EoA reports, AICTE reports, and more at http://ccet.ac.in/pdf/AICTE/."
What student forms are available?,You can find student forms at http://ccet.ac.in/forms.php.
What are the scholarships available for students?,You can find information about scholarships available for students at http://ccet.ac.in/scholarship.php.
What is the student grievance redressal system?,The student grievance redressal system can be accessed at http://ccet.ac.in/grievances/login.php.
What is the URL source of the Chandigarh College of Engineering and Technology website?,The URL source of the Chandigarh College of Engineering and Technology website is https://www.ccet.ac.in/notices.php.
How can I download necessary documents from the college website?,You can download necessary documents from the college website by clicking on the 'Downloads' link at the top of the home page. [Link: https://www.ccet.ac.in/downloads.php]
What is the contact information of the college?,The contact information of the college is available on the 'Contact Us' page. [Link: https://www.ccet.ac.in/contact.php]
What is the history of Chandigarh College of Engineering and Technology?,The history of Chandigarh College of Engineering and Technology is available on the 'History' page. [Link: https://www.ccet.ac.in/history.php]
What are the vision and mission of the college?,The vision and mission of the college are available on the 'History' page. [Link: https://www.ccet.ac.in/history.php#vissionAndMission]
How can I reach the college campus?,You can find directions to reach the college campus on the 'How To Reach Us' page. [Link: https://www.ccet.ac.in/visit.php]
Who are the officials at CCET?,"The officials at CCET, including the Principal and Academic Heads, are listed on the 'Administration' page. [Link: https://www.ccet.ac.in/deans.php]"
What facilities are available on the college campus?,"The college campus has various facilities, including classrooms, canteen, infrastructure, and sports facilities, which are described on the 'Life @ CCET' page. [Link: https://www.ccet.ac.in/infrastructure.php]"
How can I apply for admissions at CCET?,The admission process and eligibility criteria are described on the 'Admissions' page. [Link: https://www.ccet.ac.in/admission_notices.php]
What programs are offered by CCET?,"CCET offers various programs, including degree courses, Ph.D., and PU-LEET, which are described on the 'Programmes' page. [Link: https://www.ccet.ac.in/degreeCourse.php]"
What is the counselling schedule for JAC admissions?,The counselling schedule for JAC admissions is available on the JAC portal. [Link: https://jacchd.admissions.nic.in/schedule/]
What are the eligibility criteria for JAC admissions?,The eligibility criteria for JAC admissions are available on the JAC portal. [Link: https://jacchd.admissions.nic.in/eligibility-status/]
What academic departments are available at CCET?,"CCET has various academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science, which are described on the 'Academic Departments' page. [Link: https://www.ccet.ac.in/CSE-overview.php]"
How can I access the CCET Moodle platform?,The CCET Moodle platform is available at [http://192.168.13.19/moodle/]. You can access it using your login credentials.
What is the E-Akadamik platform?,The E-Akadamik platform is an online platform for academic activities. [Link: http://eakadamik.in/ccet/]
How can I access student forms and scholarships?,Student forms and scholarships are available on the 'Student Section' page. [Link: https://www.ccet.ac.in/forms.php]
What is the Student Grievances Redressal System?,The Student Grievances Redressal System is available on the 'Student Grievances' page. [Link: https://www.ccet.ac.in/grievances/login.php]
